순위,상품명,판매가,작가,출판사,출시일자,분야
56,"시선으로부터,","12,600",정세랑,문학동네,20200605,소설
57,해커스 토익 스타트 리딩(Reading) RC,"13,410",David Cho,해커스어학연구소,20220221,외국어
58,미라클모닝,"13,320",할 엘로드,한빛비즈,20220805,자기계발
59,홀로서기 심리학(7만 부 기념 스페셜 에디션),"13,500",라라 E. 필딩,메이븐,20201109,인문
60,나미야 잡화점의 기적,"13,320",히가시노 게이고,현대문학,20121219,소설
61,백조와 박쥐,"16,200",히가시노 게이고,현대문학,20210816,소설
62,요리코를 위해,"13,500",노리즈키 린타로,모모,20200304,소설
63,돈의 시나리오,"15,300",김종봉 외,다산북스,20210113,경제/경영
64,모순,"11,700",양귀자,쓰다,20130401,소설
65,나는 나답게 살기로 했다,"12,150",손힘찬,스튜디오오드리,20210208,인문
66,설민석의 한국사 대모험 16,"10,800",설민석 외,아이휴먼,20210330,어린이(초등)
67,미래의 부,"15,300",이지성,차이정원,20210726,경제/경영
68,방구석 미술관,"15,120",조원재,블랙피쉬,20211221,예술/대중문화
69,흔한남매 불꽃 튀는 우리말 1,"12,600",흔한남매 ,다산어린이,20210302,어린이(초등)
70,운의 알고리즘,"14,400",정회도,소울소사이어티,20210428,자기계발
71,데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션),"10,800",헤르만 헤세,더스토리,20171030,소설
72,럭키,"14,400",김도윤,북로망스,20210825,자기계발
73,흔한남매 별난 방탈출 1,"10,800",흔한남매 ,미래엔아이세움,20201217,어린이(초등)
74,종의 기원,"11,700",정유정,은행나무,20160516,소설
75,이기적 유전자(리커버:K),"18,000",리처드 도킨스,을유문화사,20230130,과학
76,나의 하루는 4시 30분에 시작된다,"13,500",김유진,토네이도,20211028,자기계발
77,타이탄의 도구들(블랙 에디션),"16,200",팀 페리스,토네이도,20220620,자기계발
78,문명 1,"13,320",베르나르 베르베르,열린책들,20210530,소설
79,월급쟁이 부자로 은퇴하라,"16,200",너나위,알에이치코리아,20190522,경제/경영
80,어떤 죽음이 삶에게 말했다,"13,500",김범석,흐름출판,20210118,시/에세이
81,"안녕, 소중한 사람","13,500",정한경,북로망스,20200916,시/에세이
82,생각이 너무 많은 서른 살에게,"14,400",김은주,메이븐,20210610,자기계발
83,정의란 무엇인가,"13,500",마이클 샌델,와이즈베리,20141120,인문
84,주린이도 술술 읽는 친절한 주식책,"13,500",최정희 외,메이트북스,20200901,경제/경영
85,긴긴밤,"10,350",루리,문학동네,20210203,어린이(초등)
86,추리 천재 엉덩이 탐정 10: 사랑의 포로 사건,"10,800",트롤,미래엔아이세움,20201215,어린이(초등)
87,마음챙김의 시,"11,700",류시화 ,수오서재,20200917,시/에세이
88,돈의 역사는 되풀이된다,"14,400",홍춘욱,포르체,20210616,경제/경영
89,부의 인문학,"13,500",브라운스톤(우석),오픈마인드,20191004,경제/경영
90,밝은 밤,"13,050",최은영,문학동네,20210727,소설
91,아몬드,"11,700",손원평,창비,20170331,청소년
92,봉제인형 살인사건,"13,500",다니엘 콜,북플라자,20171020,소설
93,지적 대화를 위한 넓고 얕은 지식 1,"14,400",채사장,웨일북(whalebooks),20200205,인문
94,오늘은 이만 좀 쉴게요(10만 부 기념 스페셜 에디션),"12,600",손힘찬(오가타 마리토),스튜디오오드리,20210310,시/에세이
95,지적 대화를 위한 넓고 얕은 지식: 제로 편,"17,820",채사장,웨일북(whalebooks),20191224,인문
96,해커스 토익 스타트 리스닝(Listening) LC,"13,410",David Cho,해커스어학연구소,20220221,외국어
97,다산의 마지막 습관,"14,400",조윤제,청림출판,20201116,자기계발
98,현명한 투자자,"20,700",벤저민 그레이엄,국일증권경제연구소,20200526,경제/경영
99,지구 끝의 온실,"13,500",김초엽,자이언트북스,20210818,소설
